Titulo;Categoria;Link
Codigo Postal para la Ciudad de Córdoba;Sociedad;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/sociedad/codigo-postal-para-la-ciudad-de-cordoba/169
Componentes de lineamiento;Plan de Metas;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/plan-de-metas/componentes-de-lineamiento/45
Comunicación con funcionarios municipales;Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/funcionarios/comunicacion-con-funcionarios-municipales/150
Consulta de proveedores;Proveedores y contratistas;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/proveedores-y-contratistas/consulta-de-proveedores/282
Consultas turísticas en centros de informes;Turismo;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/turismo/consultas-turisticas-en-centros-de-informes/240
Contratistas de obra en vía pública;Proveedores y contratistas;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/proveedores-y-contratistas/contratistas-de-obra-en-via-publica/281
Cooperativas y asociados;Cooperativas para atención del estacionamiento controlado;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/cooperativas-para-atencion-del-estacionamiento-controlado/cooperativas-y-asociados/276
Cortes de tránsito;Transporte urbano;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/transporte-urbano/cortes-de-transito/2769
Cuenta General del Ejercicio;Ejecución anual;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/ejecucion-anual/cuenta-general-del-ejercicio/187
Cursos de Agua;Datos Geográficos y mapas;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/datos-geograficos-y-mapas/cursos-de-agua/120
Datos comparativos;Polideportivos municipales;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/polideportivos-municipales/datos-comparativos/161
Datos Demográficos;Sociedad;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/sociedad/datos-demograficos/56
