Titulo;Categoria;Link
Declaraciones Juradas de Delia Gómez;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-delia-gomez/2744
Declaraciones Juradas de Diego Aliaga;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-diego-aliaga/2747
Declaraciones Juradas de Diego Bono;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-diego-bono/2657
Declaraciones Juradas de Diego Frossasco;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-diego-frossasco/2636
Declaraciones Juradas de Diego Gauna;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-diego-gauna/2614
Declaraciones Juradas de Diego Pigini;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-diego-pigini/2578
Declaraciones Juradas de Edelvira Olmedo;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-edelvira-olmedo/2817
Declaraciones Juradas de Edgar Borgobello;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-edgar-borgobello/2694
Declaraciones Juradas de Edgardo Vera;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-edgardo-vera/2510
Declaraciones Juradas de Eduardo Arias Ceballos;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-eduardo-arias-ceballos/2447
Declaraciones Juradas de Eduardo Brizuela;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-eduardo-brizuela/2660
Declaraciones Juradas de Eduardo Gonzalez;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-eduardo-gonzalez/2532
Declaraciones Juradas de Eduardo Leslie;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-eduardo-leslie/2573
Declaraciones Juradas de Eduardo Maldonado;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-eduardo-maldonado/2496
Declaraciones Juradas de Eduardo Montamat;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-eduardo-montamat/2438
Declaraciones Juradas de Eduardo Rodi;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-eduardo-rodi/2569
Declaraciones Juradas de Elsa Giordano;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-elsa-giordano/2524
Declaraciones Juradas de Elvira Fernandez;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-elvira-fernandez/2576
Declaraciones Juradas de Emilio Astiz;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-emilio-astiz/2622
Declaraciones Juradas de Emilio Commisso;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-emilio-commisso/2433
Declaraciones Juradas de Emilio Gramajo;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-emilio-gramajo/2610
Declaraciones Juradas de Enrique Imberti;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-enrique-imberti/2776
Declaraciones Juradas de Estanislao Cortes;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-estanislao-cortes/2749
Declaraciones Juradas de Estela Lascano;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-estela-lascano/2709
Declaraciones Juradas de Eugenia Tirao;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-eugenia-tirao/2778
Declaraciones Juradas de Facundo Barrionuevo;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-facundo-barrionuevo/2693
Declaraciones Juradas de Facundo Zapiola;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-facundo-zapiola/2484
Declaraciones Juradas de Fanny Simbron;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-fanny-simbron/2565
Declaraciones Juradas de Federico Malone;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-federico-malone/2495
Declaraciones Juradas de Felipe Labaque;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-felipe-labaque/2676
Declaraciones Juradas de Fernanda Carvajal;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-fernanda-carvajal/2538
Declaraciones Juradas de Fernando Almagro;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-fernando-almagro/2436
Declaraciones Juradas de Fernando Bocco;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-fernando-bocco/2537
Declaraciones Juradas de Fernando César Barbera;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-fernando-cesar-barbera/2650
Declaraciones Juradas de Fernando Godoy;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-fernando-godoy/2559
Declaraciones Juradas de Fernando Luque;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-fernando-luque/2534
Declaraciones Juradas de Fernando Peñaloza;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-fernando-penaloza/2466
Declaraciones Juradas de Fernando Silva;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-fernando-silva/2602
Declaraciones Juradas de Fernando Zalazar;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-fernando-zalazar/2736
Declaraciones Juradas de Fiorela Campo;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-fiorela-campo/2662
Declaraciones Juradas de Florencia Malone;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-florencia-malone/2517
Declaraciones Juradas de Florencia Tokar Navarro;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-florencia-tokar-navarro/2816
Declaraciones Juradas de Francisco Guzmán;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-francisco-guzman/2519
Declaraciones Juradas de Francisco Marchiaro;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-francisco-marchiaro/2634
Declaraciones Juradas de Franco Bolognino;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-franco-bolognino/2743
Declaraciones Juradas de Franco Gonzalez;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-franco-gonzalez/2529
Declaraciones Juradas de Gabriel Acevedo;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-gabriel-acevedo/2707
Declaraciones Juradas de Gabriela Faustinelli;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-gabriela-faustinelli/2628
Declaraciones Juradas de Gabriel Marinetti;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-gabriel-marinetti/2589
Declaraciones Juradas de Gabriel Rustan;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-gabriel-rustan/2462
Declaraciones Juradas de Gabriel Tirante;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-gabriel-tirante/2753
Declaraciones Juradas de Gastón Gigena;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-gaston-gigena/2686
Declaraciones Juradas de Gonzalo Salvetti;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-gonzalo-salvetti/2603
Declaraciones Juradas de Gonzalo Suarez;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-gonzalo-suarez/2582
Declaraciones Juradas de Guadalupe Mias;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-guadalupe-mias/2731
Declaraciones Juradas de Guillermo Barrera;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-guillermo-barrera/2674
Declaraciones Juradas de Guillermo Boris;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-guillermo-boris/2702
Declaraciones Juradas de Guillermo Joffre;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-guillermo-joffre/2452
Declaraciones Juradas de Guillermo Lyall;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-guillermo-lyall/2445
Declaraciones Juradas de Guillermo Mansilla;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-guillermo-mansilla/2608
Declaraciones Juradas de Guillermo Oscar Molas y Molas;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-guillermo-oscar-molas-y-molas/2468
Declaraciones Juradas de Guillermo Soria;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-guillermo-soria/2598
Declaraciones Juradas de Gustavo Asís;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-gustavo-asis/2767
Declaraciones Juradas de Gustavo Centeno;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-gustavo-centeno/2501
Declaraciones Juradas de Gustavo Ferrero;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-gustavo-ferrero/2682
Declaraciones Juradas de Gustavo Fontana;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-gustavo-fontana/2811
Declaraciones Juradas de Gustavo Funes;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-gustavo-funes/2611
Declaraciones Juradas de Gustavo Guelbert;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-gustavo-guelbert/2751
Declaraciones Juradas de Gustavo Piñero;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-gustavo-pinero/2465
Declaraciones Juradas de Gustavo Rigoni;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-gustavo-rigoni/2746
Declaraciones Juradas de Hector Dastoli;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-hector-dastoli/2500
Declaraciones Juradas de Hector Fontan;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-hector-fontan/2430
Declaraciones Juradas de Héctor Taborda;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-hector-taborda/2626
Declaraciones Juradas de Heraldo Santiago;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-heraldo-santiago/2460
Declaraciones Juradas de Hernán Esteban;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-hernan-esteban/2699
Declaraciones Juradas de Hernán Ferrer;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-hernan-ferrer/2451
Declaraciones Juradas de Hugo Bassoli;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-hugo-bassoli/2745
Declaraciones Juradas de Hugo Fabián Moreno;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-hugo-fabian-moreno/2725
Declaraciones Juradas de Hugo Fragas;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-hugo-fragas/2601
Declaraciones Juradas de Hugo Garrido;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-hugo-garrido/2439
Declaraciones Juradas de Hugo Montenegro;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-hugo-montenegro/2545
Declaraciones Juradas de Hugo Moreno;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-hugo-moreno/2705
Declaraciones Juradas de Hugo Rodriguez;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-hugo-rodriguez/2556
Declaraciones Juradas de Hugo Romero;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-hugo-romero/2633
Declaraciones Juradas de Hugo Talarn;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-hugo-talarn/2739
Declaraciones Juradas de Ignacio De la Peña;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-ignacio-de-la-pena/2670
Declaraciones Juradas de Ignacio De León;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-ignacio-de-leon/2518
Declaraciones Juradas de Ignacio Respuela;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-ignacio-respuela/2704
Declaraciones Juradas de Ignacio Savio;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-ignacio-savio/2591
Declaraciones Juradas de Ivana Piccardo;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-ivana-piccardo/2553
Declaraciones Juradas de Jaime Juaneda;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-jaime-juaneda/2498
Declaraciones Juradas de Javier Bee Sellares;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-javier-bee-sellares/2715
Declaraciones Juradas de Javier Canavosio;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-javier-canavosio/2562
Declaraciones Juradas de Jeronimo Millaa;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-jeronimo-millaa/2613
Declaraciones Juradas de Jorge Calle Machado;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-jorge-calle-machado/2446
Declaraciones Juradas de Jorge Martinez;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-jorge-martinez/2572
Declaraciones Juradas de Jorge Orgaz;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-jorge-orgaz/2627
Declaraciones Juradas de Jorge Perez Carreño;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-jorge-perez-carreno/2455
Declaraciones Juradas de Jorge Said Nisi;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-jorge-said-nisi/2738
Declaraciones Juradas de Jorge Urteaga;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-jorge-urteaga/2448
Declaraciones Juradas de José Barcelona;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-jose-barcelona/2481
Declaraciones Juradas de José Bisio;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-jose-bisio/2655
Declaraciones Juradas de José Fernández;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-jose-fernandez/2775
Declaraciones Juradas de Josefina Reynoso;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-josefina-reynoso/2607
Declaraciones Juradas de Jose María Olmos;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-jose-maria-olmos/2630
Declaraciones Juradas de Jose Ottogalli;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-jose-ottogalli/2727
Declaraciones Juradas de José Pereyra;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-jose-pereyra/2531
Declaraciones Juradas de José Petrini;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-jose-petrini/2437
Declaraciones Juradas de José Roca;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-jose-roca/2732
Declaraciones Juradas de José Suarez;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-jose-suarez/2521
Declaraciones Juradas de Juan Jairedin;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-juan-jairedin/2742
Declaraciones Juradas de Juan Maceira;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-juan-maceira/2635
Declaraciones Juradas de Juan Rinaldini;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-juan-rinaldini/2711
Declaraciones Juradas de Juan Sanchez;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-juan-sanchez/2552
Declaraciones Juradas de Julieta Biondo;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-julieta-biondo/2535
Declaraciones Juradas de Julieta Panebianco;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-julieta-panebianco/2679
Declaraciones Juradas de Julio Martinez;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-julio-martinez/2546
Declaraciones Juradas de Julio Martín Pusterla;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-julio-martin-pusterla/2815
Declaraciones Juradas de Julio Waisman;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-julio-waisman/2631
Declaraciones Juradas de Justino Lascano;Declaraciones Juradas de Funcionarios;https://gobiernoabierto.cordoba.gob.ar/data/datos-abiertos/categoria/declaraciones-juradas-de-funcionarios/declaraciones-juradas-de-justino-lascano/2619
